Image	human_evaluation
#9 How to perform oral suctioning_frame_5.jpg	No Suctioning
#9 How to perform oral suctioning_frame_50.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_51.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_52.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_53.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_54.jpg	No Suctioning
#9 How to perform oral suctioning_frame_55.jpg	No Suctioning
#9 How to perform oral suctioning_frame_56.jpg	No Suctioning
#9 How to perform oral suctioning_frame_57.jpg	No Suctioning
#9 How to perform oral suctioning_frame_58.jpg	No Suctioning
#9 How to perform oral suctioning_frame_59.jpg	No Suctioning
#9 How to perform oral suctioning_frame_6.jpg	No Suctioning
#9 How to perform oral suctioning_frame_60.jpg	No Suctioning
#9 How to perform oral suctioning_frame_61.jpg	No Suctioning
#9 How to perform oral suctioning_frame_62.jpg	No Suctioning
#9 How to perform oral suctioning_frame_63.jpg	No Suctioning
#9 How to perform oral suctioning_frame_64.jpg	No Suctioning
#9 How to perform oral suctioning_frame_65.jpg	No Suctioning
#9 How to perform oral suctioning_frame_66.jpg	No Suctioning
#9 How to perform oral suctioning_frame_67.jpg	No Suctioning
#9 How to perform oral suctioning_frame_68.jpg	No Suctioning
#9 How to perform oral suctioning_frame_69.jpg	No Suctioning
#9 How to perform oral suctioning_frame_7.jpg	No Suctioning
#9 How to perform oral suctioning_frame_70.jpg	No Suctioning
#9 How to perform oral suctioning_frame_71.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_72.jpg	No Suctioning
#9 How to perform oral suctioning_frame_73.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_74.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_75.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_76.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_77.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_78.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_79.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_8.jpg	No Suctioning
#9 How to perform oral suctioning_frame_80.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_81.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_82.jpg	No Suctioning
#9 How to perform oral suctioning_frame_83.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_84.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_85.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_86.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_87.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_88.jpg	Oral Suctioning
#9 How to perform oral suctioning_frame_9.jpg	No Suctioning
Oral suctioning_frame_0.jpg	No Suctioning
Oral suctioning_frame_1.jpg	No Suctioning
Oral suctioning_frame_10.jpg	No Suctioning
Oral suctioning_frame_11.jpg	Oral Suctioning
Oral suctioning_frame_12.jpg	Oral Suctioning
Oral suctioning_frame_13.jpg	No Suctioning
Oral suctioning_frame_14.jpg	No Suctioning
Oral suctioning_frame_15.jpg	No Suctioning
Oral suctioning_frame_16.jpg	No Suctioning
Oral suctioning_frame_2.jpg	No Suctioning
Oral suctioning_frame_3.jpg	No Suctioning
Oral suctioning_frame_4.jpg	No Suctioning
Oral suctioning_frame_5.jpg	No Suctioning
Oral suctioning_frame_6.jpg	No Suctioning
Oral suctioning_frame_7.jpg	Oral Suctioning
Oral suctioning_frame_8.jpg	Oral Suctioning
Oral suctioning_frame_9.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_0.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_1.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_10.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_11.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_12.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_13.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_14.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_15.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_16.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_17.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_18.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_19.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_2.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_20.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_21.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_22.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_23.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_24.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_25.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_26.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_27.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_28.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_29.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_3.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_30.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_31.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_32.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_33.jpg	Oral Suctioning
Performing Oropharyngeal Suctioning_frame_34.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_35.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_36.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_37.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_38.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_39.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_4.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_40.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_41.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_42.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_5.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_6.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_7.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_8.jpg	No Suctioning
Performing Oropharyngeal Suctioning_frame_9.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_0.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_1.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_10.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_11.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_12.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_13.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_14.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_15.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_16.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_17.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_18.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_19.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_2.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_20.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_21.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_22.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_23.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_24.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_25.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_26.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_27.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_28.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_29.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_3.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_30.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_31.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_32.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_33.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_34.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_35.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_36.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_37.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_38.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_39.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_4.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_40.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_5.jpg	Tracheal Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_6.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_7.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_8.jpg	No Suctioning
Suctioning (National Tracheostomy Safety Project)_frame_9.jpg	No Suctioning
